Ratio,Mean,Max,Min,Std,Range,Lag-1_Ratio,Lag+1_Ratio,Season,Sunday,Am,Lunch,Pm
0.0949327,287834.85250000004,380827.8930000001,194841.81199999998,92993.04050000006,185986.08100000012,0.2228523,0.0459017,1,0,1,0,0
0.0459017,139173.42249999975,155853.41699999984,122493.4279999997,16679.994500000073,33359.98900000015,0.0949327,0.0492532,1,0,1,0,0
0.0492532,149335.26699999996,158295.54300000003,140374.9909999999,8960.27600000007,17920.55200000014,0.0459017,0.0692646,1,0,1,0,0
0.0692646,150062.5730000001,168052.59700000033,132072.54899999982,17990.024000000252,35980.048000000505,0.0492532,0.0820011,1,0,1,0,0
0.0820011,158203.89199999973,170529.81599999964,145877.96799999982,12325.923999999912,24651.847999999824,0.0692646,0.0669919,1,0,1,0,0
0.0669919,146023.66200000013,176903.34100000034,115143.9829999999,30879.679000000215,61759.35800000043,0.0820011,0.0679019,1,0,0,1,0
0.0679019,148007.11550000025,175601.70400000032,120412.52700000015,27594.588500000085,55189.17700000017,0.0669919,0.0757969,1,0,0,1,0
0.0757969,165216.00250000006,174096.94900000002,156335.05600000013,8880.946499999947,17761.892999999895,0.0679019,0.0856409,1,0,0,1,0
0.0856409,157166.6225000001,175867.14000000007,138466.10500000013,18700.517499999973,37401.034999999945,0.0757969,0.0792757,1,0,0,1,0
0.0792757,145485.43999999994,154883.5499999998,136087.3300000001,9398.109999999855,18796.21999999971,0.0856409,0.0543712,1,0,0,1,0
0.0543712,199218.005,202742.7840000001,195693.2259999999,3524.779000000097,7049.558000000194,0.0792757,0.0729659,1,0,0,1,0
0.0729659,267349.716,300849.7140000004,233849.7179999996,33499.9980000004,66999.9960000008,0.0543712,0.1625098,1,0,0,0,1
0.1625098,595441.3020000003,1069547.9520000005,121334.65199999997,474106.65000000026,948213.3000000005,0.0729659,0.3186137,1,0,0,0,1
0.3186137,514802.074,677295.9150000004,352308.23299999966,162493.84100000036,324987.6820000007,0.1625098,0.3978905,1,0,0,0,1
0.3978905,759318.943999999,788900.1219999999,729737.7659999982,29581.17800000083,59162.35600000166,0.3186137,0.3208775,1,0,0,0,1
0.3208775,983893.5385,1079422.5870000012,888364.489999999,95529.04850000114,191058.09700000228,0.3978905,0.2655264,1,0,0,0,1
0.0660785,200349.30950000003,215039.82600000032,185658.79299999974,14690.516500000289,29381.033000000578,0.3386608,0.072398,1,0,1,0,0
0.072398,219509.85349999976,232903.63699999938,206116.07000000015,13393.783499999612,26787.566999999224,0.0660785,0.0636484,1,0,1,0,0
0.0636484,192981.23799999984,209259.48,176702.9959999997,16278.242000000158,32556.484000000317,0.072398,0.2066401,1,0,1,0,0
0.2066401,447688.1645000003,541531.6800000003,353844.6490000004,93843.51549999995,187687.0309999999,0.0636484,0.1803494,1,0,1,0,0
0.1803494,347946.14099999925,360642.23799999873,335250.0439999997,12696.096999999514,25392.193999999028,0.2066401,0.4119485,1,0,1,0,0
0.4119485,897932.5105,1188298.5910000007,607566.4299999992,290366.08050000074,580732.1610000015,0.1803494,0.2469693,1,0,0,1,0
0.2469693,538323.9829999999,752137.3529999997,324510.6130000001,213813.36999999976,427626.7399999995,0.4119485,0.7041877,1,0,0,1,0
0.7041877,1534932.3484999987,2528087.0799999973,541777.617,993154.7314999987,1986309.4629999972,0.2469693,0.7890198,1,0,0,1,0
0.7890198,1447995.3505000034,2313069.5930000064,582921.1080000004,865074.2425000031,1730148.485000006,0.7041877,1.0,1,0,0,1,0
1.0,1835182.6350000016,2245384.711000001,1424980.559000002,410202.07599999954,820404.1519999991,0.7890198,0.1868,1,0,0,1,0
0.1868,684441.3860000004,698885.7090000005,669997.0630000004,14444.323000000033,28888.646000000066,1.0,0.1806277,1,0,0,1,0
0.1806277,661826.0235000002,672910.0849999995,650741.962000001,11084.061499999254,22168.122999998508,0.1868,0.1655341,1,0,0,0,1
0.1655341,606522.6214999998,639583.5369999999,573461.7059999997,33060.91550000012,66121.83100000024,0.1806277,0.4082026,1,0,0,0,1
0.4082026,632197.0814999999,641638.2979999991,622755.8650000006,9441.216499999282,18882.432999998564,0.1655341,0.4042033,1,0,0,0,1
0.4042033,771366.0309999996,909940.5749999996,632791.4869999996,138574.544,277149.088,0.4082026,0.228562,1,0,0,0,1
0.228562,700830.3305000004,817968.0039999997,583692.657000001,117137.67349999934,234275.34699999867,0.4042033,0.1133869,1,0,0,0,1
0.0515643,156342.5284999999,175532.1559999997,137152.9010000001,19189.6274999998,38379.2549999996,0.4654429,0.0460368,1,1,1,0,0
0.0460368,139582.99650000012,160364.299,118801.69400000022,20781.30249999989,41562.60499999978,0.0515643,0.2145345,1,1,1,0,0
0.2145345,650466.0850000007,704695.0170000007,596237.1530000005,54228.93200000009,108457.86400000018,0.0460368,0.1476106,1,1,1,0,0
0.1476106,319799.97049999994,336219.6990000006,303380.24199999927,16419.728500000667,32839.457000001334,0.2145345,0.1862306,1,1,1,0,0
0.1862306,359292.79149999964,362618.05300000036,355967.5299999989,3325.261500000721,6650.523000001442,0.1476106,0.1495184,1,1,1,0,0
0.1495184,325908.3634999995,348696.30899999914,303120.41799999983,22787.945499999652,45575.890999999305,0.1862306,0.2280525,1,1,0,1,0
0.2280525,497090.6870000006,523670.80700000026,470510.56700000097,26580.119999999646,53160.23999999929,0.1495184,0.2625183,1,1,0,1,0
0.2625183,572216.5365000004,603779.507,540653.5660000009,31562.97049999953,63125.94099999906,0.2280525,0.3046362,1,1,0,1,0
0.3046362,559063.0100000002,562597.0320000006,555528.9879999998,3534.0220000004047,7068.044000000809,0.2625183,0.3258638,1,1,0,1,0
0.3258638,686908.7155000006,808964.8570000011,564852.574,122056.14150000055,244112.2830000011,0.3046362,0.2018247,1,1,0,1,0
0.2018247,739492.4079999989,749211.017999999,729773.7979999989,9718.610000000044,19437.22000000009,0.3258638,0.1710152,1,1,0,1,0
0.1710152,626605.6515000013,679449.4130000025,573761.8900000002,52843.76150000113,105687.52300000226,0.2018247,0.1889272,1,1,0,0,1
0.1889272,692235.7805000003,807167.5270000005,577304.0340000001,114931.74650000018,229863.49300000037,0.1710152,0.4174115,1,1,0,0,1
0.4174115,659423.845,664434.2189999993,654413.4710000006,5010.37399999937,10020.74799999874,0.1889272,0.3145278,1,1,0,0,1
0.3145278,600232.8755000002,611534.8550000002,588930.8960000002,11301.979500000016,22603.95900000003,0.4174115,0.1794809,1,1,0,0,1
0.1794809,550335.0004999996,561885.9580000001,538784.042999999,11550.957500000542,23101.915000001085,0.3145278,0.2421401,1,1,0,0,1
0.0559848,169745.21100000004,180232.69600000005,159257.72600000002,10487.485000000015,20974.97000000003,0.4831891,0.0636355,1,0,1,0,0
0.0636355,192942.2474999999,217121.7119999998,168762.78300000002,24179.464499999885,48358.92899999977,0.0559848,0.1249892,1,0,1,0,0
0.1249892,378965.8320000003,501658.2880000003,256273.37600000025,122692.45600000002,245384.91200000004,0.0636355,0.111163,1,0,1,0,0
0.111163,240835.91600000026,270808.66000000027,210863.17200000025,29972.744000000006,59945.48800000001,0.1249892,0.3587128,1,0,1,0,0
0.3587128,692060.7899999993,1163522.5949999983,220598.98500000028,471461.80499999906,942923.609999998,0.111163,0.4085999,1,0,1,0,0
0.4085999,890633.6690000003,1164510.211,616757.1270000008,273876.54199999955,547753.0839999991,0.3587128,0.2839848,1,0,0,1,0
0.2839848,619007.5624999998,622512.3509999998,615502.7739999996,3504.7885000000824,7009.577000000165,0.4085999,0.3974996,1,0,0,1,0
